Zip Code,Zip Code Type
70001,Non-Unique
70002,Non-Unique
70003,Non-Unique
70004,PO Box
70005,Non-Unique
70006,Non-Unique
70009,PO Box
70010,PO Box
70011,PO Box
70030,Non-Unique
70031,Non-Unique
70032,Non-Unique
70033,PO Box
70036,Non-Unique
70037,Non-Unique
70038,PO Box
70039,Non-Unique
70040,Non-Unique
70041,Non-Unique
70043,Non-Unique
,
70044,PO Box
70047,Non-Unique
70049,Non-Unique
70050,PO Box
70051,Non-Unique
70052,Non-Unique
70053,Non-Unique
70054,PO Box
70055,PO Box
70056,Non-Unique
70057,Non-Unique
70058,Non-Unique
70059,PO Box
70060,Unique
70062,Non-Unique
70063,PO Box
70064,PO Box
70065,Non-Unique
70067,Non-Unique
70068,Non-Unique
,
70069,PO Box
70070,Non-Unique
70071,Non-Unique
70072,Non-Unique
70073,PO Box
70075,Non-Unique
70076,Non-Unique
70078,PO Box
70079,Non-Unique
70080,Non-Unique
70081,Non-Unique
70082,PO Box
70083,Non-Unique
70084,Non-Unique
70085,Non-Unique
70086,Non-Unique
70087,Non-Unique
70090,Non-Unique
70091,Non-Unique
70092,Non-Unique
,
70093,Non-Unique
70094,Non-Unique
70096,PO Box
70097,PO Box
70112,Non-Unique
70113,Non-Unique
70114,Non-Unique
70115,Non-Unique
70116,Non-Unique
70117,Non-Unique
70118,Non-Unique
70119,Non-Unique
70121,Non-Unique
70122,Non-Unique
70123,Non-Unique
70124,Non-Unique
70125,Non-Unique
70126,Non-Unique
70127,Non-Unique
70128,Non-Unique
,
70129,Non-Unique
70130,Non-Unique
70131,Non-Unique
70139,Non-Unique
70141,PO Box
70142,Unique
70143,Unique
70145,Non-Unique
70146,Non-Unique
70148,Non-Unique
70150,PO Box
70151,PO Box
70152,PO Box
70153,PO Box
70154,Unique
70156,PO Box
70157,PO Box
70158,PO Box
70159,Unique
70160,PO Box
,
70161,PO Box
70162,Unique
70163,Non-Unique
70164,Unique
70165,Unique
70166,Unique
70167,Unique
70170,Non-Unique
70172,PO Box
70174,PO Box
70175,PO Box
70176,PO Box
70177,PO Box
70178,PO Box
70179,PO Box
70181,PO Box
70182,PO Box
70183,PO Box
70184,PO Box
70185,PO Box
,
70186,PO Box
70187,PO Box
70189,PO Box
70190,PO Box
70195,Unique
70301,Non-Unique
70302,PO Box
70310,Unique
70339,Non-Unique
70340,PO Box
70341,Non-Unique
70342,Non-Unique
70343,Non-Unique
70344,Non-Unique
70345,Non-Unique
70346,Non-Unique
70352,Non-Unique
70353,Non-Unique
70354,Non-Unique
70355,Non-Unique
70356,Non-Unique
70357,Non-Unique
70358,Non-Unique
70359,Non-Unique
70360,Non-Unique
70361,PO Box
70363,Non-Unique
70364,Non-Unique
70371,PO Box
70372,Non-Unique
70373,Non-Unique
70374,Non-Unique
70375,Non-Unique
70377,Non-Unique
70380,Non-Unique
70381,PO Box
70390,Non-Unique
70391,PO Box
70392,Non-Unique
70393,Non-Unique
70394,Non-Unique
70395,Non-Unique
70397,Non-Unique
70401,Non-Unique
70402,Non-Unique
70403,Non-Unique
70404,PO Box
70420,Non-Unique
70421,Non-Unique
70422,Non-Unique
70426,Non-Unique
70427,Non-Unique
70429,PO Box
70431,Non-Unique
70433,Non-Unique
70434,PO Box
70435,Non-Unique
70436,Non-Unique
70437,Non-Unique
70438,Non-Unique
70441,Non-Unique
70442,Non-Unique
70443,Non-Unique
70444,Non-Unique
70445,Non-Unique
70446,Non-Unique
70447,Non-Unique
70448,Non-Unique
70449,Non-Unique
70450,Non-Unique
70451,PO Box
70452,Non-Unique
70453,Non-Unique
70454,Non-Unique
70455,Non-Unique
70456,Non-Unique
70457,PO Box
70458,Non-Unique
70459,PO Box
70460,Non-Unique
70461,Non-Unique
70462,Non-Unique
70463,PO Box
70464,PO Box
70465,PO Box
70466,Non-Unique
70467,Non-Unique
70469,PO Box
70470,PO Box
70471,Non-Unique
70501,Non-Unique
70502,PO Box
70503,Non-Unique
70504,Non-Unique
70505,PO Box
70506,Non-Unique
70507,Non-Unique
70508,Non-Unique
70509,PO Box
70510,Non-Unique
70511,PO Box
70512,Non-Unique
70513,PO Box
70514,Non-Unique
70515,Non-Unique
70516,Non-Unique
70517,Non-Unique
70518,Non-Unique
70519,PO Box
70520,Non-Unique
70521,PO Box
70522,PO Box
70523,PO Box
70524,PO Box
70525,Non-Unique
70526,Non-Unique
70527,PO Box
70528,Non-Unique
70529,Non-Unique
70531,Non-Unique
70532,Non-Unique
70533,Non-Unique
70534,PO Box
70535,Non-Unique
70537,Non-Unique
70538,Non-Unique
70540,PO Box
70541,PO Box
70542,Non-Unique
70543,Non-Unique
70544,Non-Unique
70546,Non-Unique
70548,Non-Unique
70549,Non-Unique
70550,PO Box
70551,PO Box
70552,Non-Unique
70554,Non-Unique
70555,Non-Unique
70556,PO Box
70558,PO Box
