Parish,City,Zip Code,OY Est Pct,Total Number of Jobs,Total Opportunity Youth
Jefferson,Barataria,70036,0,92,0
Jefferson,Grand Isle,70358,0,347,0
Jefferson,Gretna,70053,0,"10,445",400
Jefferson,Gretna,70056,0,"8,361",865
Jefferson,Harvey,70058,0,"15,446","1,020"
Jefferson,Kenner,70062,0,"14,635",385
Jefferson,Kenner,70065,0,"8,978",640
Jefferson,Lafitte,70067,0,381,35
Jefferson,Marrero,70072,0,"16,969","1,235"
Jefferson,Metairie,70005,0,"8,783",150
Jefferson,Metairie,70002,0,"28,660",165
Jefferson,Metairie,70006,0,"11,334",280
Jefferson,Metairie,70001,0,"17,863",405
Jefferson,Metairie,70003,0,"7,185",420
Jefferson,New Orleans,70121,0,"17,181",115
Jefferson,New Orleans,70123,0,"26,141",170
Jefferson,Westwego,70094,0,"6,972",610
Orleans,New Orleans,70139,0,"3,160",0
Orleans,New Orleans,70163,0,"2,653",0
Orleans,New Orleans,70112,0,"32,854",45
Orleans,New Orleans,70124,0,"5,312",100
Orleans,New Orleans,70130,0,"37,554",140
Orleans,New Orleans,70129,0,"5,310",155
Orleans,New Orleans,70113,0,"6,942",250
Orleans,New Orleans,70115,0,"16,252",285
Orleans,New Orleans,70118,0,"16,661",330
Orleans,New Orleans,70116,0,"5,343",365
Orleans,New Orleans,70125,0,"5,715",380
Orleans,New Orleans,70128,0,"1,700",450
Orleans,New Orleans,70131,0,"2,422",450
Orleans,New Orleans,70122,0,"6,583",575
Orleans,New Orleans,70117,0,"4,457",595
Orleans,New Orleans,70126,0,"6,570",675
Orleans,New Orleans,70127,0,"2,838",705
Orleans,New Orleans,70114,0,"6,305",840
Orleans,New Orleans,70119,0,"16,702","1,270"
Plaquemines,Belle Chasse,70037,0,"9,222",245
Plaquemines,Boothville,70038,0,88,0
Plaquemines,Braithwaite,70040,0,551,0
Plaquemines,Buras,70041,0,687,25
Plaquemines,Empire,70050,0,251,0
Plaquemines,Pointe A La Hache,70082,0,161,0
Plaquemines,Port Sulphur,70083,1,"1,825",235
Plaquemines,Venice,70091,0,469,0
Saint Bernard,Arabi,70032,0,"1,129",145
Saint Bernard,Chalmette,70043,0,"7,979",605
Saint Bernard,Meraux,70075,0,716,110
Saint Bernard,Saint Bernard,70085,0,252,125
Saint Bernard,Violet,70092,0,357,240
Saint Charles,Ama,70031,0,161,20
Saint Charles,Boutte,70039,0,973,50
Saint Charles,Destrehan,70047,0,"3,490",105
Saint Charles,Hahnville,70057,0,"3,749",235
Saint Charles,Luling,70070,0,"6,770",200
Saint Charles,Norco,70079,0,"2,054",0
Saint Charles,Paradis,70080,0,266,0
Saint Charles,Saint Rose,70087,0,"7,298",125
Saint James,Convent,70723,1,"2,635",185
Saint James,Gramercy,70052,0,"1,233",60
Saint James,Hester,70743,0,225,0
Saint James,Lutcher,70071,0,"1,666",125
Saint James,Paulina,70763,0,384,0
Saint James,Saint James,70086,0,762,55
Saint James,Vacherie,70090,0,867,85
Saint Tammany,Abita Springs,70420,0,914,120
Saint Tammany,Lacombe,70445,0,"1,776",265
Saint Tammany,Madisonville,70447,0,"2,485",75
Saint Tammany,Mandeville,70448,0,"5,262",155
Saint Tammany,Mandeville,70471,0,"11,620",280
Saint Tammany,Pearl River,70452,0,"1,529",275
Saint Tammany,Slidell,70458,0,"11,671",480
Saint Tammany,Slidell,70461,0,"6,832",520
Saint Tammany,Slidell,70460,0,"5,403",645
Saint Tammany,Talisheek,70464,0,4,0
St John The Baptist,Edgard,70049,0,131,150
St John The Baptist,Garyville,70051,1,539,90
St John The Baptist,La Place,70068,0,"7,839",460
St John The Baptist,Mount Airy,70076,0,26,0
St John The Baptist,Reserve,70084,0,"4,876",100
