City,Facility Name,Address,Zip Code
Abbeville,Cow Island Branch,19635 Columbus Street,
Abbeville,Vermilion Parish Library,405 East Saint Victor Street,70510
Abita Springs,Abita Springs Branch,71683 Leveson Street,
Albany,Albany Branch,30051 West School Street,
Alexandria,Fuhrer Branch,1264 Canterberry Drive,
Alexandria,Martin Luther King Jr. Memorial Branch,3311 Third Street,
Alexandria,Rapides Parish Library,411 Washington Street,71301
Amelia,Amelia Branch,625 Lake Palourde Road,
Amite,Tangipahoa Parish Library,200 E. Mulberry Street,70422
Amite,Tangipahoa Parish Main Library,739 West Oak Street,
Angie,Angie Branch,30303 Railroad,
Angie,Varnado Branch,63086 Main Street,
Arcadia,Bienville Parish Library,2768 Maple Street,71001
Arnaudville,Arnaudville Branch,1021 Overton Street,
Atlanta,Atlanta Branch,110 School Road,
Baker,Baker Branch Library,3501 Groom Road,
Baldwin,West End Branch,100 Charenton Road,
Basile,Basile Branch,3036 East Stagg Avenue,
Bastrop,Dunbar Branch,1102 Perry Street,
Bastrop,Morehouse Parish Library,524 East Madison St.,71220
Baton Rouge,Bluebonnet Regional Branch,9200 Bluebonnet Boulevard,
Baton Rouge,Carver Branch Library,720 Terrace Street,
Baton Rouge,Central Branch Library,11260 Joor Road,
Baton Rouge,Delmont Gardens Branch Library,3351 Lorraine Street,
Baton Rouge,East Baton Rouge Parish Library,7711 Goodwood Boulevard,70806
Baton Rouge,Eden Park Branch,5131 Greenwell Springs Road,
Baton Rouge,Greenwell Springs Road Regional Branch,11300 Greenwell Springs Road,
Baton Rouge,Jones Creek Regional Branch,6222 Jones Creek Road,
Baton Rouge,River Center Branch Library,120 St. Louis Street,
Baton Rouge,Scotlandville Branch,7373 Scenic Highway,
Bayou Vista,Bayou Vista Branch,1325 Belleview Drive,
Belcher,Belcher-Wyche Branch,409 Charles Street,
Bell City,Bell City Branch,7085 Highway 14,
Belle Chasse,Belle Chasse Branch,8442 Highway 23,70037
Belle Chasse,Plaquemines Parish Library,8442 Highway 23,70037
Benton,Benton Branch,6th Sibley Streets,
Berwick,Berwick Branch,3527 Fourth Street,
Blanchard,Blanchard Branch,344 Alexander Street,
Bogalusa,Bogalusa Branch,304 Avenue F,
Bonita,Bonita Branch,15004 Henry Street,
Bossier City,Bossier Parish,2206 Beckett Street,71111
Bossier City,Henry L. Aulds Jr. Branch,3950 Wayne Avenue,
