Facility Name,Full Address,Parish,Subprogram Code
"1, 2 Buckle My Shoe","1058 Highway 115 
Mansura, LA 71350",Avoyelles,Early Learning Center III
1-2-3 Head Start Center,"2050 Mason Drive 
Haynesville, LA 71038",Claiborne,Early Learning Center III
1st Academy Learning Center,"2200 Florida Ave 
Kenner, LA 70062",Jefferson,Early Learning Center III
3 Sisters Academy,"9015 Morrison Rd 
New Orleans, LA 70127",Orleans,Early Learning Center III
3 Sisters Academy II,"120 E Street 
Belle Chasse, LA 70037",Plaquemines,Early Learning Center III
"3 Steps, Inc.","10935 Laird Lane 
Denham Springs, LA 70726",Livingston,Early Learning Center II
4 Kids Learning Center Inc,"437 Fos Avenue 
Harvey, LA 70058",Jefferson,Early Learning Center III
A & A Daycare Learning Center,"61042 Bennett Road 
Amite, LA 70422",Tangipahoa,Early Learning Center III
A Child's First Steps,"345 Central Ave 
Jefferson, LA 70121",Jefferson,Early Learning Center III
A Child's Place Daycare and Learning Center,"112 Blakesley Street 
Franklin, LA 70538",St. Mary,Early Learning Center III
A Child's World Development Center LLC,"9775 Lockhart Rd 
Denham Springs, LA 70726",Livingston,Early Learning Center II
A Child's World Learning Center,"3425 Westbank Expressway 
Harvey, LA 70058",Jefferson,Early Learning Center III
A Chosen Generation Learning Center,"6225 6th Avenue 
Marrero, LA 70072",Jefferson,Early Learning Center III
A Garden of Angels Learning Center Inc,"78045 Wheelock Lane 
Maringouin, LA 70757",Iberville,Early Learning Center III
"A Lil One's Learning Center, Inc.","4952 Stumberg Lane 
Baton Rouge , LA 70816",East Baton Rouge,Early Learning Center III
A Lil Ones Learning Center,"29525 Walker South Road 
Walker, LA 70785",Livingston,Early Learning Center III
A Lil Ones Learning Center,"13943 Perkins Road 
Baton Rouge, LA 70810",East Baton Rouge,Early Learning Center III
A Little Touch of Love Daycare/ Preschool Center,"209/211 West Pershing Street 
New Iberia, LA 70560",Iberia,Early Learning Center III
"A Love For Kids, LLC","38332 Highway 929 
Prairieville, LA 70769",Ascension,Early Learning Center II
A Mere Childcare,"1435 North Grace Street 
Lake Charles, LA 70615",Calcasieu,Early Learning Center III
A Place to Grow Learning Center,"3138 Annette Street 
New Orleans, LA 70122",Orleans,Early Learning Center III
A Plus Daycare and Learning Center,"201 Catalon ave 
Maurice, LA 70555",Vermilion,Early Learning Center I
A Plus Too llc,"105 catalon ave 
maurice, LA 70555",Vermilion,Early Learning Center I
A Step Above Children's Learning Academy,"7036 Winbourne Ave 
Baton Rouge, LA 70805",East Baton Rouge,Early Learning Center III
A to Z 123 Preschool & Learning Center,"1036 Fourth Street 
Natchitoches, LA 71457",Natchitoches,Early Learning Center III
A to Z Preschool,"31015 Hwy 190 
Lacombe, LA 70445",St. Tammany,Early Learning Center III
A Total Learning Center,"20440-C Highland Road 
Baton Rouge, LA 70817",East Baton Rouge,Early Learning Center III
A- List Kids,"19000 Florida Boulevard 
Albany, LA 70711",Livingston,Early Learning Center II
A-Bear's Kids Only Preschool,"155 Grand Avenue 
Lafayette, LA 70503",Lafayette,Early Learning Center III
A-mazing Kidz ELC LLC,"308  West 4th Street 
Independence, LA 70443",Tangipahoa,Early Learning Center III
ABC 123 Preschool Daycare,"900 Briarwood Drive 
New Iberia, LA 70560",Iberia,Early Learning Center II
ABC Academy,"47275 N Morrison Blvd 
Hammond, LA 70401",Tangipahoa,Early Learning Center III
