"","GEOID","State","State_name","County","County_name","LAND_AREA","Tot_Population_ACS_13_17","Tot_Population_ACSMOE_13_17","Low_Response_Score"
"1","22001960100","22","Louisiana","001","Acadia Parish",18.241,6187,646,22.7
"2","22001960200","22","Louisiana","001","Acadia Parish",135.626,5627,512,16.7
"3","22001960300","22","Louisiana","001","Acadia Parish",90.173,3494,360,18.1
"4","22001960400","22","Louisiana","001","Acadia Parish",127.812,7116,689,18
"5","22001960500","22","Louisiana","001","Acadia Parish",74.271,7126,710,16.3
"6","22001960600","22","Louisiana","001","Acadia Parish",13.249,5960,567,22.5
"7","22001960700","22","Louisiana","001","Acadia Parish",7.982,4820,448,25
"8","22001960800","22","Louisiana","001","Acadia Parish",12.243,5147,480,21.4
"9","22001960900","22","Louisiana","001","Acadia Parish",5.598,4974,455,24.6
"10","22001961000","22","Louisiana","001","Acadia Parish",5.689,4988,442,23.3
"11","22001961100","22","Louisiana","001","Acadia Parish",81.115,3740,386,22
"12","22001961200","22","Louisiana","001","Acadia Parish",83.118,3428,326,16.9
"13","22003950100","22","Louisiana","003","Allen Parish",393.97,4984,452,18.5
"14","22003950200","22","Louisiana","003","Allen Parish",26.841,5424,384,23.6
"15","22003950300","22","Louisiana","003","Allen Parish",3.554,2848,372,21.5
"16","22003950400","22","Louisiana","003","Allen Parish",195.616,4115,404,21.4
"17","22003950500","22","Louisiana","003","Allen Parish",141.864,8296,553,22.3
"18","22005030101","22","Louisiana","005","Ascension Parish",11.721,7996,665,19.4
"19","22005030102","22","Louisiana","005","Ascension Parish",6.127,4961,417,17.4
"20","22005030103","22","Louisiana","005","Ascension Parish",15.272,6498,618,15.7
"21","22005030203","22","Louisiana","005","Ascension Parish",10.532,11485,743,15.7
"22","22005030204","22","Louisiana","005","Ascension Parish",7.035,12096,826,19
"23","22005030205","22","Louisiana","005","Ascension Parish",6.224,11126,713,19.2
"24","22005030206","22","Louisiana","005","Ascension Parish",8.073,10642,595,22.5
"25","22005030300","22","Louisiana","005","Ascension Parish",66.656,14620,933,19.4
"26","22005030401","22","Louisiana","005","Ascension Parish",5.898,4749,444,22.7
"27","22005030402","22","Louisiana","005","Ascension Parish",4.774,7809,612,23.2
"28","22005030500","22","Louisiana","005","Ascension Parish",69.974,8847,797,20.3
"29","22005030600","22","Louisiana","005","Ascension Parish",26.242,6561,540,23.3
"30","22005030900","22","Louisiana","005","Ascension Parish",37.56,4475,545,25.5
"31","22005031000","22","Louisiana","005","Ascension Parish",13.897,7264,595,23.7
"32","22007050100","22","Louisiana","007","Assumption Parish",52.911,3775,450,25.1
"33","22007050200","22","Louisiana","007","Assumption Parish",42.464,4885,437,16.4
"34","22007050300","22","Louisiana","007","Assumption Parish",55.255,3456,479,21.5
"35","22007050400","22","Louisiana","007","Assumption Parish",52.704,3437,376,21.3
"36","22007050500","22","Louisiana","007","Assumption Parish",78.155,3160,457,24.6
"37","22007050600","22","Louisiana","007","Assumption Parish",57.171,4168,363,22.5
"38","22009030100","22","Louisiana","009","Avoyelles Parish",271.62,2620,426,20.7
"39","22009030200","22","Louisiana","009","Avoyelles Parish",119.217,2742,296,17.2
"40","22009030300","22","Louisiana","009","Avoyelles Parish",51.944,3589,455,20.7
"41","22009030400","22","Louisiana","009","Avoyelles Parish",19.918,6946,432,22.5
"42","22009030500","22","Louisiana","009","Avoyelles Parish",53.127,6994,621,20.7
"43","22009030600","22","Louisiana","009","Avoyelles Parish",84.775,4924,350,22.9
"44","22009030700","22","Louisiana","009","Avoyelles Parish",87.039,7908,578,24.9
"45","22009030800","22","Louisiana","009","Avoyelles Parish",61.851,2579,295,17.7
"46","22009030900","22","Louisiana","009","Avoyelles Parish",82.947,2793,351,25.9
"47","22011960100","22","Louisiana","011","Beauregard Parish",298.237,6587,771,17.5
"48","22011960200","22","Louisiana","011","Beauregard Parish",124.721,5120,479,18.7
"49","22011960300","22","Louisiana","011","Beauregard Parish",8.019,4448,303,24.6
"50","22011960400","22","Louisiana","011","Beauregard Parish",9.344,3454,239,22.8
"51","22011960500","22","Louisiana","011","Beauregard Parish",14.719,5237,322,22.8
"52","22011960600","22","Louisiana","011","Beauregard Parish",344.578,3636,394,22.4
"53","22011960700","22","Louisiana","011","Beauregard Parish",357.724,8116,735,17.2
"54","22013970100","22","Louisiana","013","Bienville Parish",24.328,3630,209,25.8
"55","22013970200","22","Louisiana","013","Bienville Parish",151.268,1599,193,24.3
"56","22013970300","22","Louisiana","013","Bienville Parish",99.715,3090,248,23.4
"57","22013970400","22","Louisiana","013","Bienville Parish",152.298,2668,258,20.1
"58","22013970500","22","Louisiana","013","Bienville Parish",383.659,2819,280,21.7
"59","22015010400","22","Louisiana","015","Bossier Parish",2.389,1391,215,31.4
"60","22015010500","22","Louisiana","015","Bossier Parish",1.577,4440,375,23.7
"61","22015010601","22","Louisiana","015","Bossier Parish",5.207,7969,777,29.3
"62","22015010602","22","Louisiana","015","Bossier Parish",1.313,3457,391,26.9
"63","22015010701","22","Louisiana","015","Bossier Parish",0.894,3818,509,25.5
"64","22015010702","22","Louisiana","015","Bossier Parish",0.771,4279,537,23
"65","22015010801","22","Louisiana","015","Bossier Parish",1.181,2936,428,26.2
"66","22015010804","22","Louisiana","015","Bossier Parish",3.446,7862,500,19.3
"67","22015010805","22","Louisiana","015","Bossier Parish",2.137,3323,350,27.8
"68","22015010806","22","Louisiana","015","Bossier Parish",1.024,4134,313,15.9
"69","22015010900","22","Louisiana","015","Bossier Parish",33.41,5038,454,29.5
"70","22015011001","22","Louisiana","015","Bossier Parish",55.514,8522,698,22
"71","22015011002","22","Louisiana","015","Bossier Parish",104.471,4768,556,19.3
"72","22015011103","22","Louisiana","015","Bossier Parish",123.91,7065,551,18.8
"73","22015011105","22","Louisiana","015","Bossier Parish",14.205,6638,440,17.9
"74","22015011106","22","Louisiana","015","Bossier Parish",56.555,9027,721,21.9
"75","22015011107","22","Louisiana","015","Bossier Parish",3.697,2145,245,27.2
"76","22015011108","22","Louisiana","015","Bossier Parish",45.593,15077,878,17.3
"77","22015011109","22","Louisiana","015","Bossier Parish",12.386,7800,668,20.8
"78","22015011110","22","Louisiana","015","Bossier Parish",10.437,8828,667,19.1
"79","22015011200","22","Louisiana","015","Bossier Parish",358.934,5427,704,21.4
"80","22015011300","22","Louisiana","015","Bossier Parish",1.004,1754,267,32.9
"81","22017020500","22","Louisiana","017","Caddo Parish",1.824,2870,327,30.8
"82","22017020600","22","Louisiana","017","Caddo Parish",0.547,790,160,27.8
"83","22017020700","22","Louisiana","017","Caddo Parish",0.559,837,132,27.1
"84","22017021000","22","Louisiana","017","Caddo Parish",0.727,1802,231,27.6
"85","22017021100","22","Louisiana","017","Caddo Parish",0.504,2363,375,26.5
"86","22017021200","22","Louisiana","017","Caddo Parish",0.723,3424,408,26.2
"87","22017021300","22","Louisiana","017","Caddo Parish",1.416,2735,409,30.3
"88","22017021400","22","Louisiana","017","Caddo Parish",0.58,2267,292,23.5
"89","22017021500","22","Louisiana","017","Caddo Parish",0.834,2188,275,19.8
"90","22017021600","22","Louisiana","017","Caddo Parish",0.896,3626,601,21.7
"91","22017021700","22","Louisiana","017","Caddo Parish",1.106,1850,288,30.1
"92","22017021800","22","Louisiana","017","Caddo Parish",1.094,1524,458,31.8
"93","22017021900","22","Louisiana","017","Caddo Parish",0.511,1392,249,26.9
"94","22017022000","22","Louisiana","017","Caddo Parish",0.722,1828,217,26.8
"95","22017022100","22","Louisiana","017","Caddo Parish",1.501,5913,577,28.6
"96","22017022200","22","Louisiana","017","Caddo Parish",3.185,5408,702,27.6
"97","22017022300","22","Louisiana","017","Caddo Parish",1.029,2452,462,29.3
"98","22017022400","22","Louisiana","017","Caddo Parish",1.264,3212,521,28.4
"99","22017022500","22","Louisiana","017","Caddo Parish",1.043,5329,634,27.5
"100","22017022600","22","Louisiana","017","Caddo Parish",1.251,3042,351,11.9
"101","22017022700","22","Louisiana","017","Caddo Parish",0.647,2618,353,16.8
"102","22017022800","22","Louisiana","017","Caddo Parish",1.091,4045,350,16.8
"103","22017022900","22","Louisiana","017","Caddo Parish",2.272,4893,679,22.2
"104","22017023000","22","Louisiana","017","Caddo Parish",1.614,4730,458,16.6
"105","22017023100","22","Louisiana","017","Caddo Parish",0.94,1629,195,14.8
"106","22017023200","22","Louisiana","017","Caddo Parish",0.613,1508,227,29.7
"107","22017023300","22","Louisiana","017","Caddo Parish",1.266,2702,345,28.1
"108","22017023400","22","Louisiana","017","Caddo Parish",2.031,6507,765,30.1
"109","22017023500","22","Louisiana","017","Caddo Parish",1.078,3470,597,27
"110","22017023600","22","Louisiana","017","Caddo Parish",0.998,3209,483,31.1
"111","22017023700","22","Louisiana","017","Caddo Parish",2.043,6775,793,29.6
"112","22017023800","22","Louisiana","017","Caddo Parish",1.76,5466,617,23.1
"113","22017023901","22","Louisiana","017","Caddo Parish",4.082,6618,552,20.1
"114","22017023903","22","Louisiana","017","Caddo Parish",7.096,4182,401,18.6
"115","22017023904","22","Louisiana","017","Caddo Parish",1.132,3008,371,21.1
"116","22017023905","22","Louisiana","017","Caddo Parish",1.335,4795,676,22.7
"117","22017024000","22","Louisiana","017","Caddo Parish",80.666,12131,595,14.3
"118","22017024102","22","Louisiana","017","Caddo Parish",13.288,3992,404,19.4
"119","22017024104","22","Louisiana","017","Caddo Parish",3.181,7166,706,26.6
