"","GEOID","Name","Geography","response2000","response2010"
"1","2267250 ","St. Gabriel city, LA ","Place ",0.56,0.57
"2","2220575 ","DeQuincy city, LA ","Place ",0.64,0.55
"3","2280815 ","Westlake city, LA ","Place ",0.77,0.78
"4","2210950 ","Bunkie city, LA ","Place ",0.59,0.41
"5","2239055 ","Kaplan city, LA ","Place ",0.77,0.78
"6","2238075 ","Jeanerette city, LA ","Place ",0.68,0.67
"7","2282495 ","Winnsboro city, LA ","Place ",0.72,0.59
"8","2282460 ","Winnfield city, LA ","Place ",0.63,0.5
"9","2272485 ","Springhill city, LA ","Place ",0.8,0.63
"10","2230515 ","Grambling city, LA ","Place ",0.51,0.34
"11","2259340 ","Patterson city, LA ","Place ",999,0.59
"12","2256540 ","Oakdale city, LA ","Place ",0.51,0.55
"13","2248750 ","Marksville city, LA ","Place ",0.58,0.67
"14","2248365 ","Mansfield city, LA ","Place ",0.7,0.54
"15","2261790 ","Port Allen city, LA ","Place ",0.71,0.7
"16","2221240 ","Donaldsonville city, LA ","Place ",0.64,0.58
"17","2227155 ","Franklin city, LA ","Place ",1,0.67
"18","2267600 ","St. Martinville city, LA ","Place ",0.68,0.68
"19","2243010 ","Leesville city, LA ","Place ",0.55,0.64
"20","2255105 ","New Roads city, LA ","Place ",0.63,0.57
"21","2274690 ","Tallulah city, LA ","Place ",0.62,0.54
"22","2238355 ","Jennings city, LA ","Place ",0.76,0.71
"23","2263645 ","Rayne city, LA ","Place ",0.73,0.75
"24","2278715 ","Ville Platte city, LA ","Place ",0.64,0.7
"25","2281165 ","Westwego city, LA ","Place ",0.72,0.74
"26","2209340 ","Breaux Bridge city, LA ","Place ",0.66,0.7
"27","2212665 ","Carencro city, LA ","Place ",0.68,0.71
"28","2224565 ","Eunice city, LA ","Place ",0.74,0.71
"29","2210075 ","Broussard city, LA ","Place ",0.72,0.75
"30","2232930 ","Harahan city, LA ","Place ",0.84,0.78
"31","2283335 ","Youngsville city, LA ","Place ",0.77,0.77
"32","2252040 ","Morgan City city, LA ","Place ",999,0.65
"33","2261615 ","Ponchatoula city, LA ","Place ",0.66,0.7
"34","2218125 ","Covington city, LA ","Place ",0.72,0.76
"35","2229850 ","Gonzales city, LA ","Place ",0.68,0.69
"36","2283405 ","Zachary city, LA ","Place ",0.76,0.75
"37","2203985 ","Baker city, LA ","Place ",0.66,0.73
"38","2200100 ","Abbeville city, LA ","Place ",0.71,0.67
"39","2220610 ","DeRidder city, LA ","Place ",0.7,0.72
"40","2218650 ","Crowley city, LA ","Place ",0.72,0.73
"41","2260880 ","Plaquemine city, LA ","Place ",0.71,0.71
"42","2268475 ","Scott city, LA ","Place ",0.76,0.67
"43","2208150 ","Bogalusa city, LA ","Place ",0.67,0.68
"44","2204685 ","Bastrop city, LA ","Place ",0.69,0.71
"45","2250885 ","Minden city, LA ","Place ",0.75,0.74
"46","2248225 ","Mandeville city, LA ","Place ",0.7,0.77
"47","2220435 ","Denham Springs city, LA ","Place ",0.72,0.74
"48","2275425 ","Thibodaux city, LA ","Place ",0.76,0.75
"49","2231915 ","Gretna city, LA ","Place ",0.68,0.69
"50","2280955 ","West Monroe city, LA ","Place ",0.7,0.73
"51","2260530 ","Pineville city, LA ","Place ",0.73,0.74
"52","2258045 ","Opelousas city, LA ","Place ",0.41,0.68
"53","2213960 ","Central city, LA ","Place ",999,0.77
"54","2253545 ","Natchitoches city, LA ","Place ",0.67,0.62
"55","2273640 ","Sulphur city, LA ","Place ",0.72,0.73
"56","2232755 ","Hammond city, LA ","Place ",0.57,0.59
"57","2266655 ","Ruston city, LA ","Place ",0.67,0.63
"58","2254035 ","New Iberia city, LA ","Place ",0.71,0.7
"59","2236255 ","Houma city, LA ","Place ",0.77,0.73
"60","2270805 ","Slidell city, LA ","Place ",0.78,0.7
"61","2200975 ","Alexandria city, LA ","Place ",0.72,0.73
"62","2251410 ","Monroe city, LA ","Place ",0.68,0.72
"63","2208920 ","Bossier City city, LA ","Place ",0.79,0.74
"64","2239475 ","Kenner city, LA ","Place ",0.75,0.71
"65","2241155 ","Lake Charles city, LA ","Place ",0.7,0.69
"66","2240735 ","Lafayette city, LA ","Place ",0.74,0.7
"67","2270000 ","Shreveport city, LA ","Place ",0.74,0.73
"68","2205000 ","Baton Rouge city, LA ","Place ",0.69,0.67
"69","2255000 ","New Orleans city, LA ","Place ",0.61,0.45
