"","tract","lang","val","valMOE","GEOID"
"1","000603","spanish",108,75,"22071000603"
"2","001749","spanish",96,71,"22071001749"
"3","001750","spanish",408,196,"22071001750"
"4","001751","spanish",127,106,"22071001751"
"5","004900","spanish",138,81,"22071004900"
"6","005000","spanish",476,271,"22071005000"
"7","006300","spanish",290,147,"22071006300"
"8","007200","spanish",152,136,"22071007200"
"9","007200","chinese",45,60,"22071007200"
"10","001741","vietnamese",339,95,"22071001741"
"11","001749","vietnamese",906,196,"22071001749"
"12","001750","vietnamese",1089,317,"22071001750"
