"","Year","CTYNAME","White","Black","AI","Asian","Hawaiian","Two","Hispanic","Pop"
"1","cen42010","Acadia Parish, Louisiana",48630,11163,163,142,5,610,1060,61773
"2","cen42010","Allen Parish, Louisiana",18294,5998,611,176,5,338,342,25764
"3","cen42010","Ascension Parish, Louisiana",76057,23793,297,1011,62,971,5024,107215
"4","cen42010","Assumption Parish, Louisiana",15449,7114,133,56,11,160,498,23421
"5","cen42010","Avoyelles Parish, Louisiana",27914,12339,472,142,3,597,606,42073
"6","cen42010","Beauregard Parish, Louisiana",28771,4607,334,223,17,699,1003,35654
"7","cen42010","Bienville Parish, Louisiana",7852,6053,48,34,0,159,207,14353
"8","cen42010","Bossier Parish, Louisiana",81104,24295,537,1902,155,1960,7026,116979
"9","cen42010","Caddo Parish, Louisiana",122169,119901,980,2686,118,2986,6129,254969
"10","cen42010","Calcasieu Parish, Louisiana",134120,47947,856,2093,83,2724,4945,192768
"11","cen42010","Caldwell Parish, Louisiana",8049,1737,19,26,0,79,222,10132
"12","cen42010","Cameron Parish, Louisiana",6486,119,33,6,0,41,154,6839
"13","cen42010","Catahoula Parish, Louisiana",6948,3273,33,3,0,60,90,10407
"14","cen42010","Claiborne Parish, Louisiana",8085,8711,59,39,1,129,171,17195
"15","cen42010","Concordia Parish, Louisiana",11844,8508,62,50,4,145,209,20822
"16","cen42010","De Soto Parish, Louisiana",15107,10405,181,37,9,256,661,26656
"17","cen42010","East Baton Rouge Parish, Louisiana",207157,198957,931,12396,90,4366,16274,440171
"18","cen42010","East Carroll Parish, Louisiana",2198,5327,16,44,0,47,127,7759
"19","cen42010","East Feliciana Parish, Louisiana",10680,9055,60,51,1,212,208,20267
"20","cen42010","Evangeline Parish, Louisiana",23125,9592,98,112,3,278,776,33984
"21","cen42010","Franklin Parish, Louisiana",13859,6501,36,42,6,127,196,20767
"22","cen42010","Grant Parish, Louisiana",17373,3441,207,54,8,295,931,22309
"23","cen42010","Iberia Parish, Louisiana",44637,23396,255,1771,18,864,2299,73240
"24","cen42010","Iberville Parish, Louisiana",15997,16353,61,102,2,208,664,33387
"25","cen42010","Jackson Parish, Louisiana",10994,4832,36,28,2,173,209,16274
"26","cen42010","Jefferson Davis Parish, Louisiana",24883,5468,147,64,3,491,538,31594
"27","cen42010","Jefferson Parish, Louisiana",243152,112422,1650,16670,127,4829,53702,432552
"28","cen42010","Lafayette Parish, Louisiana",149455,56885,696,3317,57,2571,8597,221578
"29","cen42010","Lafourche Parish, Louisiana",75149,12699,2638,721,26,1438,3647,96318
"30","cen42010","LaSalle Parish, Louisiana",12523,1759,146,26,1,104,331,14890
"31","cen42010","Lincoln Parish, Louisiana",25332,18879,109,792,17,417,1189,46735
"32","cen42010","Livingston Parish, Louisiana",115471,6486,484,625,25,1134,3801,128026
"33","cen42010","Madison Parish, Louisiana",4401,7363,23,26,0,92,188,12093
"34","cen42010","Morehouse Parish, Louisiana",14264,13092,36,99,12,221,255,27979
"35","cen42010","Natchitoches Parish, Louisiana",21250,16424,347,146,8,656,735,39566
"36","cen42010","Orleans Parish, Louisiana",105298,205747,838,9967,111,3817,18051,343829
"37","cen42010","Ouachita Parish, Louisiana",91670,55995,351,1454,41,1449,2760,153720
"38","cen42010","Plaquemines Parish, Louisiana",15698,4705,355,729,21,467,1067,23042
"39","cen42010","Pointe Coupee Parish, Louisiana",13779,8272,16,59,0,184,492,22802
"40","cen42010","Rapides Parish, Louisiana",81754,41998,977,1580,26,1860,3418,131613
"41","cen42010","Red River Parish, Louisiana",5308,3587,33,12,1,49,101,9091
"42","cen42010","Richland Parish, Louisiana",12722,7408,57,54,2,150,332,20725
"43","cen42010","Sabine Parish, Louisiana",16781,4009,1879,53,0,691,820,24233
"44","cen42010","St. Bernard Parish, Louisiana",24721,6316,204,690,10,647,3309,35897
"45","cen42010","St. Charles Parish, Louisiana",34983,13953,160,446,19,571,2648,52780
"46","cen42010","St. Helena Parish, Louisiana",5011,5975,34,9,1,74,99,11203
"47","cen42010","St. James Parish, Louisiana",10492,11157,43,35,3,116,256,22102
"48","cen42010","St. John the Baptist Parish, Louisiana",18408,24442,117,316,26,440,2175,45924
"49","cen42010","St. Landry Parish, Louisiana",46216,34505,267,316,4,755,1321,83384
"50","cen42010","St. Martin Parish, Louisiana",33988,15999,216,395,3,488,1071,52160
"51","cen42010","St. Mary Parish, Louisiana",31329,17705,940,937,12,807,2920,54650
"52","cen42010","St. Tammany Parish, Louisiana",188825,26715,1056,2951,73,3150,10970,233740
"53","cen42010","Tangipahoa Parish, Louisiana",77940,36532,358,723,36,1248,4260,121097
"54","cen42010","Tensas Parish, Louisiana",2180,2958,6,8,0,35,65,5252
"55","cen42010","Terrebonne Parish, Louisiana",76901,21074,6254,1132,40,2038,4421,111860
"56","cen42010","Union Parish, Louisiana",15404,6155,53,31,16,119,943,22721
"57","cen42010","Vermilion Parish, Louisiana",46404,8269,198,1156,5,586,1381,57999
"58","cen42010","Vernon Parish, Louisiana",37856,7309,692,889,243,1570,3775,52334
"59","cen42010","Washington Parish, Louisiana",31039,14575,127,108,3,429,887,47168
"60","cen42010","Webster Parish, Louisiana",26075,13787,138,120,8,409,670,41207
"61","cen42010","West Baton Rouge Parish, Louisiana",13953,8976,27,78,1,209,544,23788
"62","cen42010","West Carroll Parish, Louisiana",9345,1812,44,26,0,78,299,11604
"63","cen42010","West Feliciana Parish, Louisiana",8006,7238,22,31,3,74,251,15625
"64","cen42010","Winn Parish, Louisiana",10115,4672,96,39,2,149,240,15313
"65","est72018","Acadia Parish, Louisiana",48053,11148,204,190,11,888,1696,62190
"66","est72018","Allen Parish, Louisiana",18172,5714,536,157,3,446,577,25605
"67","est72018","Ascension Parish, Louisiana",84955,28968,413,1627,69,1480,7160,124672
