"","CTYNAME","Year","Whitepct","Blackpct","AIpct","Asianpct","Hawaiianpct","Twopct","Hispanicpct"
"1","Acadia Parish, Louisiana","cen42010",0.787237142440872,0.180710018940314,0.0026386932802357,0.00229873893124828,8.09415116636718e-05,0.00987486442296796,0.0171596004726984
"2","Allen Parish, Louisiana","cen42010",0.710060549604099,0.232805464989908,0.0237152616053408,0.00683123738549915,0.000194069243906226,0.0131190808880609,0.0132743362831858
"3","Ascension Parish, Louisiana","cen42010",0.709387678962832,0.221918574826284,0.00277013477591755,0.00942965070186075,0.000578277293289185,0.00905656857715805,0.0468591148626591
"4","Assumption Parish, Louisiana","cen42010",0.659621707015072,0.303744502796636,0.00567866444643696,0.00239101660902609,0.000469663976772982,0.00683147602578882,0.0212629691302677
"5","Avoyelles Parish, Louisiana","cen42010",0.66346588073111,0.293275972714092,0.0112185962493761,0.00337508615976992,7.13046371782378e-05,0.0141896227984693,0.014403536710004
"6","Beauregard Parish, Louisiana","cen42010",0.806950131822516,0.129214113423459,0.00936781286812139,0.00625455769338644,0.000476804846581029,0.0196050933976552,0.0281314859482807
"7","Bienville Parish, Louisiana","cen42010",0.547063331707657,0.421723681460322,0.00334424858914513,0.00236884275064446,0,0.0110778234515432,0.0144220720406884
"8","Bossier Parish, Louisiana","cen42010",0.693321023431556,0.207686849776456,0.00459056753776319,0.0162593285974406,0.00132502414963369,0.0167551440856906,0.0600620624214603
"9","Caddo Parish, Louisiana","cen42010",0.479152367542721,0.470257168518526,0.00384360451662751,0.0105346140118995,0.000462801360165353,0.0117112276394385,0.0240382164106225
"10","Calcasieu Parish, Louisiana","cen42010",0.695758632138114,0.248729042164675,0.00444057104913679,0.0108576112217795,0.000430569389110226,0.0141309760956175,0.0256525979415671
"11","Caldwell Parish, Louisiana","cen42010",0.794413738649822,0.171437031188314,0.0018752467429925,0.00256612712198974,0,0.00779707856296881,0.0219107777339124
"12","Cameron Parish, Louisiana","cen42010",0.948384266705659,0.0174002047082907,0.00482526685187893,0.000877321245796169,0,0.00599502851294049,0.022517911975435
"13","Catahoula Parish, Louisiana","cen42010",0.667627558374171,0.314499855866244,0.00317094263476506,0.000288267512251369,0,0.00576535024502739,0.00864802536754108
"14","Claiborne Parish, Louisiana","cen42010",0.470194824076766,0.506600756033731,0.00343123000872347,0.00226810119220704,5.81564408258215e-05,0.00750218086653097,0.00994475138121547
"15","Concordia Parish, Louisiana","cen42010",0.568821438862741,0.408606281817309,0.0029776198251849,0.00240130631063298,0.000192104504850639,0.00696378830083565,0.0100374603784459
"16","De Soto Parish, Louisiana","cen42010",0.566739195678271,0.390343637454982,0.00679021608643457,0.00138805522208884,0.000337635054021609,0.00960384153661465,0.024797418967587
"17","East Baton Rouge Parish, Louisiana","cen42010",0.470628460302928,0.451999336621449,0.00211508709115321,0.0281617825799519,0.000204465991625982,0.00991887243821151,0.0369719949746803
"18","East Carroll Parish, Louisiana","cen42010",0.283283928341281,0.686557546075525,0.00206212140739786,0.00567083387034412,0,0.00605748163423122,0.0163680886712205
