"","name","Race","y2000","y2010","y2018","change2000_2010","change2010_2018","change2000_2018"
"1","Acadia","Black or African American",10705,11133,11148,428,15,443
"2","Allen","Black or African American",6175,5957,5714,-218,-243,-461
"3","Ascension","Black or African American",15466,23727,28968,8261,5241,13502
"4","Assumption","Black or African American",7303,7111,6552,-192,-559,-751
"5","Avoyelles","Black or African American",12173,12318,11959,145,-359,-214
"6","Beauregard","Black or African American",4229,4597,4476,368,-121,247
"7","Bienville","Black or African American",6860,6048,5519,-812,-529,-1341
"8","Bossier","Black or African American",20347,24245,28567,3898,4322,8220
"9","Caddo","Black or African American",111984,119697,119992,7713,295,8008
"10","Calcasieu","Black or African American",43769,47490,51534,3721,4044,7765
"11","Caldwell","Black or African American",1884,1735,1575,-149,-160,-309
"12","Cameron","Black or African American",388,119,278,-269,159,-110
"13","Catahoula","Black or African American",2942,3273,2931,331,-342,-11
"14","Claiborne","Black or African American",7925,8707,8228,782,-479,303
"15","Concordia","Black or African American",7573,8503,7741,930,-762,168
"16","De Soto","Black or African American",10691,10402,9806,-289,-596,-885
"17","East Baton Rouge","Black or African American",164853,198590,205186,33737,6596,40333
"18","East Carroll","Black or African American",6297,5324,4786,-973,-538,-1511
"19","East Feliciana","Black or African American",10012,9052,8202,-960,-850,-1810
"20","Evangeline","Black or African American",10041,9565,9147,-476,-418,-894
"21","Franklin","Black or African American",6692,6500,6352,-192,-148,-340
"22","Grant","Black or African American",2212,3441,3423,1229,-18,1211
"23","Iberia","Black or African American",22451,23280,22781,829,-499,330
"24","Iberville","Black or African American",16486,16338,15791,-148,-547,-695
"25","Jackson","Black or African American",4282,4829,4520,547,-309,238
"26","Jefferson","Black or African American",103376,112013,116407,8637,4394,13031
"27","Jefferson Davis","Black or African American",5571,5450,5186,-121,-264,-385
"28","La Salle","Black or African American",1732,1758,1786,26,28,54
"29","Lafayette","Black or African American",45149,56633,64018,11484,7385,18869
"30","Lafourche","Black or African American",11287,12679,13120,1392,441,1833
"31","Lincoln","Black or African American",16846,18860,19018,2014,158,2172
"32","Livingston","Black or African American",3846,6455,9137,2609,2682,5291
"33","Madison","Black or African American",8259,7357,6969,-902,-388,-1290
"34","Morehouse","Black or African American",13353,13078,12125,-275,-953,-1228
"35","Natchitoches","Black or African American",14917,16296,15843,1379,-453,926
"36","Orleans","Black or African American",323392,204866,231147,-118526,26281,-92245
"37","Ouachita","Black or African American",49270,55946,57643,6676,1697,8373
"38","Plaquemines","Black or African American",6227,4675,4851,-1552,176,-1376
"39","Pointe Coupee","Black or African American",8553,8247,7751,-306,-496,-802
"40","Rapides","Black or African American",38298,41937,41444,3639,-493,3146
