"","County","name","Race","y2000","y2010","y2018","d00_10","d10_18","d00_18","Growth","Description"
"1",5,"Ascension","Asian",249,995,1627,746,632,1378,"1,000-2,499","Ascension
1,378"
"2",15,"Bossier","Asian",1216,1873,2281,657,408,1065,"1,000-2,499","Bossier
1,065"
"3",17,"Caddo","Asian",1718,2653,3009,935,356,1291,"1,000-2,499","Caddo
1,291"
"4",19,"Calcasieu","Asian",1163,2052,2672,889,620,1509,"1,000-2,499","Calcasieu
1,509"
"5",33,"East Baton Rouge","Asian",8534,12290,14642,3756,2352,6108,"+2,500","East Baton Rouge
6,108"
"6",45,"Iberia","Asian",1401,1745,1849,344,104,448,"300-999","Iberia
448"
"7",51,"Jefferson","Asian",13948,16542,17869,2594,1327,3921,"+2,500","Jefferson
3,921"
"8",55,"Lafayette","Asian",2041,3293,4567,1252,1274,2526,"+2,500","Lafayette
2,526"
"9",63,"Livingston","Asian",160,616,862,456,246,702,"300-999","Livingston
702"
"10",71,"Orleans","Asian",10919,9883,11309,-1036,1426,390,"300-999","Orleans
390"
"11",73,"Ouachita","Asian",932,1429,1573,497,144,641,"300-999","Ouachita
641"
"12",75,"Plaquemines","Asian",696,726,1001,30,275,305,"300-999","Plaquemines
305"
"13",79,"Rapides","Asian",1071,1545,1796,474,251,725,"300-999","Rapides
725"
"14",103,"St Tammany","Asian",1413,2914,3649,1501,735,2236,"1,000-2,499","St Tammany
2,236"
"15",105,"Tangipahoa","Asian",387,714,946,327,232,559,"300-999","Tangipahoa
559"
"16",109,"Terrebonne","Asian",836,1127,1164,291,37,328,"300-999","Terrebonne
328"
