"","parish","tract","medhhinc","medhhincMOE","hhunder18","hhunder18MOE","totinta","totaintMOE","NoSubscript","NoSubscriptMOE","NoAccess","NoAccessMOE","Median_household_income","Median_household_incomeMOE","Households_with_people_under18","Households_with_people_under18MOE","No_home_internet_access_percent","No_home_internet_access_MOEagg","No_home_internet_access_MOEprop"
"1","055","001905",61472,5468,759,759,2226,171,180,130,365,151,61472,5468,759,759,0.244833782569632,199.251097863977,0.0875125566350401
"2","055","001904",62090,11269,465,465,1808,129,50,51,194,69,62090,11269,465,465,0.134955752212389,85.8020978764505,0.0464697780022132
"3","055","000100",34955,6949,177,177,986,101,33,38,249,69,34955,6949,177,177,0.286004056795132,78.7718223732319,0.0743247558811067
"4","055","001405",51458,8602,1251,1251,3760,210,223,128,519,179,51458,8602,1251,1251,0.197340425531915,220.056810846654,0.0574785686925959
"5","055","002102",65368,16356,632,632,1699,132,48,69,353,100,65368,16356,632,632,0.236021188934667,121.49485585818,0.0691185655233848
"6","055","001002",36833,7776,432,432,1560,104,104,56,390,117,36833,7776,432,432,0.316666666666667,129.711217710728,0.080423546873194
"7","055","001409",65997,4238,1232,1232,3944,362,128,120,385,159,65997,4238,1232,1232,0.130070993914807,199.200903612408,0.0490760725972494
"8","055","000900",22762,4029,245,245,693,47,87,46,304,61,22762,4029,245,245,0.564213564213564,76.4002617796562,0.103391770218839
"9","055","000500",44583,8241,184,184,1215,95,48,44,77,39,44583,8241,184,184,0.102880658436214,58.7962583843564,0.0477187104195774
"10","055","001200",40288,14338,976,976,2751,230,82,81,675,197,40288,14338,976,976,0.275172664485642,213.002347404905,0.073930362983163
"11","039","950200",43393,8661,251,251,672,89,5,7,196,64,43393,8661,251,251,0.299107142857143,64.3816744112795,0.0872326845592467
"12","039","950600",16513,3856,510,510,1645,197,66,54,964,185,16513,3856,510,510,0.626139817629179,192.7200041511,0.090014549640056
"13","039","950700",54464,12776,356,356,1275,115,0,12,316,95,54464,12776,356,356,0.247843137254902,95.7548954362125,0.0716977646922703
"14","039","950300",32339,7408,469,469,1694,150,110,65,645,145,32339,7408,469,469,0.4456906729634,158.902485820707,0.0850972633985871
"15","039","950500",20702,3229,410,410,1237,153,23,23,656,164,20702,3229,410,410,0.54890864995958,165.604951616792,0.115383990341804
"16","113","950200",46450,8616,584,584,1827,171,13,13,494,124,46450,8616,584,584,0.277504105090312,124.679589348056,0.0631067940790851
"17","113","950400",36135,3347,564,564,1993,218,39,48,609,174,36135,3347,564,564,0.325137982940291,180.499307477896,0.0832915418110367
"18","113","950500",60402,13626,772,772,1997,178,151,102,500,158,60402,13626,772,772,0.325988983475213,188.063818955162,0.089578454673789
"19","113","950800",23313,6902,673,673,1819,219,133,78,634,172,23313,6902,673,673,0.421660252886201,188.859736312428,0.0905685690975393
"20","113","950100",61900,7877,1572,1572,3688,246,69,59,625,174,61900,7877,1572,1572,0.188177874186551,183.730781307869,0.0482113524918372
"21","089","063200",76140,17957,819,819,1845,151,51,52,317,124,76140,17957,819,819,0.199457994579946,134.461890511773,0.0710273165496056
"22","089","063000",72955,11340,157,157,502,50,15,15,57,36,72955,11340,157,157,0.143426294820717,39,0.0763645423493193
"23","089","062100",42558,8921,1012,1012,2210,169,137,120,387,156,42558,8921,1012,1012,0.23710407239819,196.814633602281,0.0871911158885301
"24","089","062200",57566,18174,305,305,803,65,30,27,162,59,57566,18174,305,305,0.239103362391034,64.8845127900333,0.0784504038984046
"25","089","062800",38713,11234,657,657,1769,138,163,90,513,154,38713,11234,657,657,0.382136800452233,178.370401132026,0.096323737620342
"26","089","063100",98594,13470,1411,1411,2670,124,70,89,152,102,98594,13470,1411,1411,0.0831460674157303,135.369863706809,0.0505530601177258
"27","039","950400",37389,7549,754,754,2057,242,35,45,791,189,37389,7549,754,754,0.401555663587749,194.283298304306,0.0817861754458553
"28","039","950100",40386,7275,813,813,1894,210,0,17,611,182,40386,7275,813,813,0.32259767687434,182.792231782426,0.0896383237355105
"29","039","950800",28125,5222,493,493,1454,132,5,8,557,113,28125,5222,493,493,0.386519944979367,113.282831885507,0.0695618594053353
"30","113","951100",51250,5378,190,190,571,81,3,6,171,65,51250,5378,190,190,0.304728546409807,65.2763356814704,0.105831352332855
"31","113","950700",43438,6214,342,342,1385,165,17,22,448,104,43438,6214,342,342,0.335740072202166,106.301458127346,0.0655059498289873
"32","089","062500",66540,6965,425,425,1209,78,6,11,244,85,66540,6965,425,425,0.206782464846981,85.7088093488645,0.0696257375548377
"33","089","062900",55323,6307,227,227,994,76,34,31,216,80,55323,6307,227,227,0.251509054325956,85.7962703152066,0.0841447435072183
"34","089","062301",100505,5841,1040,1040,2219,114,51,62,133,91,100505,5841,1040,1040,0.0829202343397927,110.113577727726,0.0494398720763925
"35","089","062400",30313,9406,184,184,474,75,0,12,196,65,30313,9406,184,184,0.413502109704641,66.098411478643,0.123146317573401
"36","089","060100",76797,11473,318,318,721,52,49,48,87,34,76797,11473,318,318,0.188626907073509,58.821764679411,0.0804413336258375
"37","089","062700",57375,17787,581,581,1637,129,195,101,470,165,57375,17787,581,581,0.406230910201588,193.458005779032,0.113760078309571
"38","089","062302",75338,14845,529,529,1872,75,117,80,227,88,75338,14845,529,529,0.183760683760684,118.928549978548,0.063102181255925
"39","057","020900",41178,7121,223,223,753,91,8,14,257,87,41178,7121,223,223,0.351925630810093,88.1192374002408,0.10902225002126
"40","057","020100",34167,5727,196,196,1286,115,0,12,391,96,34167,5727,196,196,0.304043545878694,96.7470929795826,0.07014603874184
"41","057","020400",24081,7805,250,250,789,95,27,24,263,76,24081,7805,250,250,0.367553865652725,79.6994353806851,0.0908026401167868
"42","057","021500",52222,9349,724,724,1876,112,25,23,507,142,52222,9349,724,724,0.283582089552239,143.85061696079,0.0747870397912966
"43","057","021700",55286,9197,579,579,1460,106,24,21,428,88,55286,9197,579,579,0.30958904109589,90.4709898254684,0.05774619056426
"44","057","020500",33645,2971,886,886,2500,178,14,23,727,210,33645,2971,886,886,0.2964,211.255769151993,0.0818246582055654
"45","057","020600",58977,9316,315,315,827,57,15,18,77,27,58977,9316,315,315,0.111245465538089,32.4499614791759,0.0384817296633926
"46","057","021000",44012,9128,466,466,1105,96,46,33,264,88,44012,9128,466,466,0.280542986425339,93.9840411984928,0.0814864692871071
"47","057","021800",40696,6291,609,609,1883,140,138,91,477,123,40696,6291,609,609,0.326606479022836,153.003267938956,0.0775417265357188
"48","057","021100",57196,18818,880,880,2622,196,70,55,699,223,57196,18818,880,880,0.293287566742944,229.682389398926,0.0848102758473103
"49","057","021200",53677,4777,581,581,1775,136,57,44,522,123,53677,4777,581,581,0.326197183098592,130.633073913156,0.0692223141518361
"50","057","020702",41551,7737,445,445,1466,113,61,69,344,132,41551,7737,445,445,0.276261937244202,148.946299047677,0.0993438733672328
"51","045","030800",22609,5084,270,270,774,96,38,28,417,97,22609,5084,270,270,0.587855297157623,100.960388271837,0.108158838872572
"52","045","030900",25948,7058,479,479,1212,116,54,50,538,117,25948,7058,479,479,0.488448844884488,127.23600119463,0.0939965517226857
"53","045","031100",33980,7118,614,614,1989,165,97,84,622,189,33980,7118,614,614,0.361488185017597,206.826013837718,0.0995670719113508
"54","045","030600",77108,10242,825,825,2237,148,53,34,282,99,77108,10242,825,825,0.149754135002235,104.675689632311,0.045731947720057
"55","045","030400",42690,10227,841,841,2645,212,15,27,963,210,42690,10227,841,841,0.369754253308129,211.728599863127,0.0743604316105742
"56","045","030700",58841,6950,474,474,1524,106,35,37,203,74,58841,6950,474,474,0.156167979002625,82.7345151674922,0.0531899797825185
"57","045","031300",43235,14509,766,766,2306,138,62,47,634,197,43235,14509,766,766,0.30182133564614,202.529010267665,0.0859496149608957
"58","045","031000",24073,5290,389,389,1182,146,72,49,389,118,24073,5290,389,389,0.390016920473773,127.769323391806,0.0967673413589951
