"","PlaceCode","pop","popMOE","hh","hhMOE","m_under5","m_under5MOE","f_under5","f_under5MOE","racepop","racepopMOE","white","whiteMOE","black","blackMOE","asian","asianMOE","hisp","hispMOE","renter","renterMOE","occupied","occupiedMOE","Population","Population_MOE","Total_Households","Total_Households_MOE","Population_Under_5","Population_Under_5_MOE","White_percent","White_MOEprop","Black_percent","Black_MOEprop","Asian_percent","Asian_MOEprop","Hispanic_percent","Hispanic_MOEprop","Renter_percent","Renter_MOEprop"
"1",100,2811,311,1404,114,77,49,126,62,2811,311,2301,291,198,116,7,13,292,117,604,141,1404,114,2811,311,1404,114,203,79.0253124005214,0.818569903948773,0.0501492946828277,0.0704375667022412,0.0405239377744476,0.00249021700462469,0.00461647487193782,0.103877623621487,0.0400040694437324,0.43019943019943,0.094156769841613
"2",200,1513,376,487,69,79,60,27,34,1513,376,166,70,1272,380,0,12,40,51,265,72,487,69,1513,376,487,69,106,68.9637585982667,0.109715796430932,0.0373776868022207,0.840713813615334,0.139386723677729,0,0.00793126239259749,0.0264375413086583,0.0330613725924667,0.544147843942505,0.126150290861946
"3",300,1228,233,525,68,19,30,18,28,1228,233,127,72,1097,239,0,12,4,8,282,79,525,68,1228,233,525,68,37,41.0365690573664,0.103420195439739,0.0552507425555416,0.893322475570033,0.0956520436925541,0,0.00977198697068404,0.00325732899022801,0.00648527490520988,0.537142857142857,0.133426799837576
"4",400,2034,382,854,88,60,69,76,68,2034,382,295,80,1644,361,30,25,28,29,513,97,854,88,2034,382,854,88,136,96.8762096698668,0.145034414945919,0.0283728659943363,0.808259587020649,0.0919663136451483,0.0147492625368732,0.0119748468792856,0.0137659783677483,0.0140212589189085,0.600702576112412,0.095234612290469
"5",601,1037,205,384,68,26,40,99,95,1037,205,16,18,1009,207,0,12,12,18,339,69,384,68,1037,205,384,68,125,103.077640640442,0.0154291224686596,0.0170876774931899,0.972999035679846,0.053367891026464,0,0.0115718418514947,0.0115718418514947,0.017206361467889,0.8828125,0.0885894870648178
"6",602,2530,463,986,85,32,28,89,88,2530,463,186,107,2141,451,22,28,176,146,452,94,986,85,2530,463,986,85,121,92.3471710449216,0.0735177865612648,0.0400954284107959,0.846245059288538,0.0882802390046436,0.00869565217391304,0.0109521877697683,0.0695652173913043,0.0562857506490765,0.45841784989858,0.0867581021721713
"7",603,979,212,439,68,16,21,47,41,979,212,0,12,826,204,16,19,114,92,342,68,439,68,979,212,439,68,63,46.0651712251241,0,0.0122574055158325,0.843718079673136,0.10019671619596,0.0163432073544433,0.0190821446416024,0.116445352400409,0.0905271436566668,0.779043280182232,0.0971161050677081
"8",604,4359,570,1500,127,164,97,149,130,4359,570,707,270,3213,640,0,12,360,203,787,129,1500,127,4359,570,1500,127,313,162.200493217499,0.162193163569626,0.0581965791200512,0.737095664143152,0.110755246551585,0,0.00275292498279422,0.0825877494838266,0.0453008276894989,0.524666666666667,0.0736390226650363
"9",605,2321,226,784,60,125,72,97,52,2321,226,431,117,1722,211,0,12,162,92,440,55,784,60,2321,226,784,60,222,88.8144132446981,0.185695820766911,0.0470548197136172,0.741921585523481,0.0551862222295078,0,0.00517018526497199,0.0697975010771219,0.039051096213269,0.561224489795918,0.0554677938634724
"10",606,4559,597,1619,100,51,50,135,99,4559,597,1169,251,2603,409,117,105,579,343,140,77,1619,100,4559,597,1619,100,186,110.909873320638,0.256415880675587,0.0436314168578319,0.57095854354025,0.0495809730708052,0.025663522702347,0.0227848632669467,0.127001535424435,0.0733746615990637,0.086473131562693,0.0472593580671885
"11",607,5057,466,1499,83,122,106,315,152,5057,466,1921,362,2451,435,7,11,588,308,172,76,1499,83,5057,466,1499,83,437,185.310550158376,0.379869487838639,0.0624413817655593,0.484674708325094,0.0735159302012555,0.00138421989321732,0.00217145951368158,0.116274471030255,0.059955799593438,0.114743162108072,0.0503008171302597
"12",611,5217,783,1552,114,84,69,170,110,5217,783,14,16,4489,768,556,310,158,145,489,119,1552,114,5217,783,1552,114,254,129.849913361542,0.00268353459842822,0.00304033523044138,0.860456200881733,0.0706630489064632,0.106574659766149,0.057227767142905,0.0302856047536899,0.0274195452605643,0.315077319587629,0.0730990458284951
"13",612,1791,317,536,75,42,37,56,33,1791,317,1032,176,478,263,120,116,147,111,33,22,536,75,1791,317,536,75,98,49.5782210249622,0.576214405360134,0.141627367008051,0.266890005583473,0.139039845000128,0.067001675041876,0.0636733394218293,0.0820770519262982,0.0602498939952401,0.0615671641791045,0.040130521085186
"14",613,5331,783,2084,152,276,188,245,159,5331,783,449,182,4751,794,10,43,101,112,1600,181,2084,152,5331,783,2084,152,521,246.221445044903,0.0842243481523166,0.0318198604559752,0.89120240105046,0.0710574979375434,0.0018758206715438,0.008061322087511,0.0189457887825924,0.0208240901625616,0.767754318618042,0.0663897061571789
"15",615,4903,480,2115,137,306,140,182,111,4903,480,984,304,3319,473,137,89,399,274,1632,158,2115,137,4903,480,2115,137,488,178.664490036493,0.200693452987967,0.058807486635981,0.676932490312054,0.0701062785077404,0.0279420762798287,0.0179448490637151,0.0813787477054864,0.0553133503331001,0.771631205673759,0.0555201560493478
"16",616,4315,379,1563,129,105,93,162,93,4315,379,1511,326,2372,359,34,40,287,169,533,144,1563,129,4315,379,1563,129,267,131.521861300698,0.350173812282735,0.0690063692859028,0.549710312862109,0.0677547368496862,0.00787949015063731,0.00924411758574409,0.0665121668597914,0.0387275547350124,0.341010876519514,0.0877262772365367
"17",617,5030,679,2176,218,232,149,369,210,5030,679,361,141,4305,674,130,154,234,243,1970,220,2176,218,5030,679,2176,218,601,257.489805623446,0.0717693836978131,0.0263044104271743,0.855864811133201,0.0678749174983788,0.025844930417495,0.0304168731703887,0.0465208747514911,0.0479002396556217,0.905330882352941,0.0446699419922407
"18",618,4563,512,1371,97,162,77,289,133,4563,512,1328,288,2966,477,261,140,8,13,324,94,1371,97,4563,512,1371,97,451,153.681488800701,0.291036598728906,0.0540114963523673,0.650010957703265,0.0748883226561781,0.0571992110453649,0.030002768183288,0.00175323252246329,0.00284220277335666,0.236323851203501,0.0664930982207771
