"","GEOID","ZIP"
"1",2220000100,"99835"
"2",2220000200,"99835"
"3",2230000100,"99840"
"4",2240000100,"99732"
"5",2240000100,"99780"
"6",2240000100,"99738"
"7",2240000100,"99764"
"8",2240000100,"99776"
"9",2240000400,"99737"
"10",2261000100,"99586"
"11",2261000100,"99573"
"12",2261000100,"99588"
"13",2261000100,"99566"
"14",2261000200,"99574"
"15",2261000300,"99686"
"16",2261000300,"99677"
"17",2261000300,"99693"
"18",2270000100,"99657"
"19",2270000100,"99585"
"20",2270000100,"99658"
"21",2270000100,"99666"
"22",2270000100,"99604"
"23",2270000100,"99563"
"24",2270000100,"99632"
"25",2270000100,"99662"
"26",2270000100,"99581"
"27",2270000100,"99554"
"28",2270000100,"99650"
"29",2270000100,"99620"
"30",2275000300,"99929"
"31",2275000300,"99903"
"32",2282000100,"99689"
"33",2290000100,"99740"
"34",2290000100,"99730"
"35",2290000100,"99788"
"36",2290000100,"99722"
"37",2290000100,"99724"
"38",2290000100,"99733"
"39",2290000100,"99781"
"40",2290000200,"99758"
"41",2290000200,"99777"
"42",2290000200,"99704"
"43",2290000200,"99774"
"44",2290000200,"99756"
"45",2290000200,"99726"
"46",2290000200,"99760"
"47",2290000200,"99767"
"48",2290000300,"99765"
"49",2290000300,"99768"
"50",2290000300,"99741"
"51",2290000300,"99748"
"52",2290000300,"99746"
"53",2290000300,"99720"
"54",2290000300,"99745"
"55",2290000300,"99754"
"56",2290000400,"99602"
"57",2290000400,"99691"
"58",2290000400,"99590"
"59",2290000400,"99757"
"60",2290000400,"99627"
"61",2290000400,"99665"
"62",2290000400,"99558"
"63",22001960100,"70525"
"64",22001960200,"70535"
"65",22001960200,"70516"
"66",22001960200,"70525"
"67",22001960200,"70526"
"68",22001960200,"70543"
"69",22001960300,"70535"
"70",22001960300,"70537"
"71",22001960300,"70546"
"72",22001960300,"70543"
"73",22001960300,"70515"
"74",22001960400,"70543"
"75",22001960400,"70526"
"76",22001960400,"70537"
"77",22001960400,"70531"
"78",22001960400,"70516"
"79",22001960400,"70578"
"80",22001960500,"70516"
"81",22001960500,"70583"
"82",22001960500,"70525"
"83",22001960500,"70578"
"84",22001960600,"70578"
"85",22001960600,"70529"
"86",22001960600,"70583"
"87",22001960700,"70578"
"88",22001960800,"70578"
"89",22001960800,"70526"
"90",22001960900,"70526"
"91",22001961000,"70526"
"92",22001961100,"70556"
"93",22001961100,"70559"
"94",22001961100,"70534"
"95",22001961100,"70526"
"96",22001961200,"70578"
"97",22001961200,"70559"
"98",22001961200,"70526"
"99",22003950100,"70662"
"100",22003950100,"70658"
"101",22003950100,"70656"
"102",22003950100,"70654"
"103",22003950100,"70657"
"104",22003950100,"70648"
"105",22003950100,"70637"
"106",22003950100,"71463"
"107",22003950100,"70644"
"108",22003950100,"70638"
"109",22003950100,"70651"
"110",22003950100,"70655"
"111",22003950200,"71433"
"112",22003950200,"71463"
"113",22003950300,"71463"
"114",22003950400,"70532"
"115",22003950400,"70648"
"116",22003950400,"71463"
"117",22003950400,"70655"
"118",22003950500,"70648"
"119",22003950500,"70655"
"120",22003950500,"70532"
"121",22003950500,"70640"
"122",22005030101,"70769"
"123",22005030101,"70737"
"124",22005030102,"70737"
"125",22005030102,"70774"
"126",22005030103,"70769"
"127",22005030103,"70774"
"128",22005030103,"70737"
"129",22005030203,"70769"
"130",22005030204,"70769"
"131",22005030205,"70769"
"132",22005030205,"70737"
"133",22005030206,"70737"
"134",22005030206,"70769"
"135",22005030300,"70734"
"136",22005030300,"70769"
"137",22005030300,"70778"
"138",22005030300,"70737"
"139",22005030300,"70725"
"140",22005030401,"70737"
"141",22005030402,"70737"
"142",22005030500,"70737"
"143",22005030500,"70774"
"144",22005030500,"70449"
"145",22005030500,"70778"
"146",22005030600,"70778"
"147",22005030600,"70737"
"148",22005030900,"70346"
"149",22005031000,"70346"
"150",22007050100,"70339"
"151",22007050100,"70346"
"152",22007050100,"70341"
"153",22007050200,"70339"
"154",22007050300,"70391"
"155",22007050300,"70390"
"156",22007050300,"70341"
"157",22007050300,"70393"
"158",22007050400,"70390"
"159",22007050500,"70372"
"160",22007050500,"70390"
"161",22007050500,"70301"
"162",22007050600,"70301"
"163",22007050600,"70372"
"164",22007050600,"70380"
"165",22009030100,"71350"
"166",22009030100,"71355"
"167",22009030100,"71351"
"168",22009030200,"71331"
"169",22009030200,"71323"
"170",22009030200,"71360"
"171",22009030200,"71328"
"172",22009030300,"71341"
"173",22009030300,"71351"
"174",22009030400,"71350"
"175",22009030400,"71351"
"176",22009030500,"71350"
"177",22009030500,"71341"
"178",22009030500,"71322"
"179",22009030600,"71322"
"180",22009030600,"71367"
"181",22009030700,"71355"
"182",22009030700,"71333"
"183",22009030700,"71362"
"184",22009030700,"71350"
"185",22009030700,"71327"
"186",22009030700,"71322"
"187",22009030800,"71362"
"188",22009030800,"71327"
"189",22009030800,"71333"
"190",22009030800,"71356"
"191",22009030900,"71362"
"192",22009030900,"71355"
"193",22009030900,"71369"
"194",22009030900,"71353"
"195",22009030900,"71339"
"196",22011960100,"70657"
"197",22011960100,"70652"
"198",22011960100,"70637"
"199",22011960100,"70662"
"200",22011960100,"70634"
"201",22011960200,"70653"
"202",22011960200,"70634"
"203",22011960300,"70634"
"204",22011960400,"70634"
"205",22011960500,"70634"
"206",22011960600,"70634"
"207",22011960600,"70660"
"208",22011960600,"70661"
"209",22011960600,"70653"
