"","GEOID11","GEOID2","Geography","response2000","response2010"
"1","22051027705 ","22","Tract ",0.18,0.54
"2","22055000400 ","22","Tract ",0.49,0.6
"3","22071001600 ","22","Tract ",0.42,0.01
"4","22017020900 ","22","Tract ",0.47,0.53
"5","22071004402 ","22","Tract ",0.49,0
"6","22071001714 ","22","Tract ",0.52,0.44
"7","22079011400 ","22","Tract ",0.9,0.85
"8","22017020400 ","22","Tract ",0.49,0.62
"9","22071008102 ","22","Tract ",0.5,0.36
"10","22071009302 ","22","Tract ",0.46,0.33
"11","22079010800 ","22","Tract ",0.77,0.82
"12","22125951702 ","22","Tract ",0.49,0.37
"13","22051027300 ","22","Tract ",0.68,0.64
"14","22073001600 ","22","Tract ",0.65,0.66
"15","22071000902 ","22","Tract ",0.61,0.18
"16","22071010400 ","22","Tract ",0.65,0.53
"17","22071000601 ","22","Tract ",0.43,0.47
"18","22071008700 ","22","Tract ",0.57,0.42
"19","22017020200 ","22","Tract ",0.49,0.63
"20","22071001304 ","22","Tract ",0.56,0.44
"21","22071001303 ","22","Tract ",0.53,0.33
"22","22033001400 ","22","Tract ",0.66,0.66
"23","22073001002 ","22","Tract ",0.75,0.87
"24","22075050500 ","22","Tract ",0.49,0.47
"25","22071008000 ","22","Tract ",0.34,0.28
"26","22071007000 ","22","Tract ",0.43,0.29
"27","22079011900 ","22","Tract ",0.72,0.71
"28","22071003306 ","22","Tract ",0.41,0.26
"29","22017020100 ","22","Tract ",0.36,0.62
"30","22071003305 ","22","Tract ",0.57,0.34
"31","22073000800 ","22","Tract ",0.62,0.7
"32","22051020900 ","22","Tract ",0.56,0.62
"33","22087030101 ","22","Tract ",0.45,0.26
"34","22017020600 ","22","Tract ",0.63,0.7
"35","22087030601 ","22","Tract ",0.82,0.42
"36","22033001300 ","22","Tract ",0.51,0.52
"37","22071000701 ","22","Tract ",0.61,0.27
"38","22071005900 ","22","Tract ",0.49,0.56
"39","22071006900 ","22","Tract ",0.45,0.37
"40","22071005700 ","22","Tract ",0.44,0.26
"41","22071001741 ","22","Tract ",0.7,0.64
"42","22071000903 ","22","Tract ",0.62,0.2
"43","22071001734 ","22","Tract ",0.47,0.56
"44","22051020800 ","22","Tract ",0.59,0.61
"45","22071004700 ","22","Tract ",0.37,0.27
"46","22073005700 ","22","Tract ",0.61,0.63
"47","22089063000 ","22","Tract ",0.69,0.65
"48","22071000612 ","22","Tract ",0.72,0.76
"49","22071006700 ","22","Tract ",0.37,0.33
"50","22033003102 ","22","Tract ",0.56,0.57
"51","22051026200 ","22","Tract ",0.6,0.64
"52","22017020800 ","22","Tract ",0.63,0.64
"53","22071007900 ","22","Tract ",0.4,0.42
"54","22073000900 ","22","Tract ",0.63,0.67
"55","22071009301 ","22","Tract ",0.48,0.3
"56","22089062400 ","22","Tract ",0.61,0.71
"57","22075050600 ","22","Tract ",0.5,0.44
"58","22033000100 ","22","Tract ",0.54,0.57
"59","22017021800 ","22","Tract ",0.62,0.65
"60","22015011107 ","22","Tract ",0.68,0.78
"61","22071012102 ","22","Tract ",0.45,0.51
"62","22117950900 ","22","Tract ",0.63,0.62
"63","22051022101 ","22","Tract ",0.86,0.86
"64","22071006000 ","22","Tract ",0.47,0.43
"65","22075050700 ","22","Tract ",0.49,0.42
"66","22051020700 ","22","Tract ",0.52,0.58
"67","22071012000 ","22","Tract ",0.7,0.71
"68","22017024800 ","22","Tract ",0.69,0.6
"69","22017020700 ","22","Tract ",0.75,0.66
"70","22051024600 ","22","Tract ",0.56,0.64
"71","22071002100 ","22","Tract ",0.56,0.28
"72","22071005604 ","22","Tract ",0.81,0.62
"73","22065960400 ","22","Tract ",0.54,0.46
"74","22051020505 ","22","Tract ",0.62,0.63
"75","22051025600 ","22","Tract ",0.73,0.7
"76","22071000901 ","22","Tract ",0.59,0.22
"77","22075050800 ","22","Tract ",0.43,0.32
"78","22071000300 ","22","Tract ",0.55,0.42
"79","22079012800 ","22","Tract ",0.67,0.71
"80","22087030500 ","22","Tract ",0.83,0.46
"81","22033002100 ","22","Tract ",0.47,0.61
"82","22071003307 ","22","Tract ",0.61,0.53
"83","22033000300 ","22","Tract ",0.57,0.59
"84","22057020201 ","22","Tract ",0.82,0.79
"85","22071008300 ","22","Tract ",0.43,0.56
"86","22051026400 ","22","Tract ",0.88,0.7
"87","22089060100 ","22","Tract ",0.56,0.79
"88","22071008600 ","22","Tract ",0.33,0.26
"89","22073000300 ","22","Tract ",0.42,0.53
"90","22071011200 ","22","Tract ",0.57,0.56
"91","22017021700 ","22","Tract ",0.6,0.65
"92","22071011600 ","22","Tract ",0.7,0.77
"93","22071001302 ","22","Tract ",0.55,0.34
"94","22071001733 ","22","Tract ",0.51,0.09
"95","22099020900 ","22","Tract ",0.71,0.7
"96","22035990200 ","22","Tract ",0.63,0.54
"97","22055000900 ","22","Tract ",0.61,0.63
"98","22071007604 ","22","Tract ",0.74,0.65
"99","22073001500 ","22","Tract ",0.61,0.62
"100","22015010400 ","22","Tract ",0.67,0.62
"101","22017023200 ","22","Tract ",0.59,0.62
"102","22071005603 ","22","Tract ",0.77,0.52
"103","22051023300 ","22","Tract ",0.86,0.79
"104","22071008900 ","22","Tract ",0.57,0.57
"105","22071000200 ","22","Tract ",0.53,0.35
"106","22087030206 ","22","Tract ",0.83,0.52
"107","22033000800 ","22","Tract ",0.54,0.6
"108","22051025700 ","22","Tract ",0.58,0.62
"109","22071005000 ","22","Tract ",0.55,0.34
"110","22033002700 ","22","Tract ",0.71,0.77
"111","22041950500 ","22","Tract ",0.6,0.64
"112","22051021900 ","22","Tract ",0.72,0.68
"113","22087030400 ","22","Tract ",0.77,0.42
"114","22071010500 ","22","Tract ",0.65,0.57
"115","22015010900 ","22","Tract ",0.85,0.61
"116","22107980200 ","22","Tract ",0.58,0.44
"117","22051023001 ","22","Tract ",0.88,0.86
"118","22073001400 ","22","Tract ",0.6,0.65
"119","22071008500 ","22","Tract ",0.5,0.29
"120","22071007605 ","22","Tract ",0.6,0.42
"121","22071011500 ","22","Tract ",0.75,0.69
"122","22071010800 ","22","Tract ",0.74,0.69
"123","22077952300 ","22","Tract ",0.62,0.59
"124","22071005800 ","22","Tract ",0.37,0.42
"125","22071001500 ","22","Tract ",0.55,0.26
"126","22071003100 ","22","Tract ",0.56,0.35
"127","22071006800 ","22","Tract ",0.42,0.5
"128","22073000401 ","22","Tract ",0.69,0.71
"129","22051021400 ","22","Tract ",0.87,0.83
"130","22071009700 ","22","Tract ",0.53,0.54
"131","22033002200 ","22","Tract ",0.65,0.61
"132","22113951100 ","22","Tract ",0.44,0.74
"133","22071002200 ","22","Tract ",0.59,0.27
"134","22087030700 ","22","Tract ",0.72,0.51
"135","22017021900 ","22","Tract ",0.73,0.72
"136","22019000400 ","22","Tract ",0.59,0.61
"137","22033001200 ","22","Tract ",0.66,0.68
"138","22071000904 ","22","Tract ",0.6,0.24
"139","22071007800 ","22","Tract ",0.39,0.45
"140","22071003000 ","22","Tract ",0.56,0.32
"141","22071010600 ","22","Tract ",0.63,0.61
"142","22071009600 ","22","Tract ",0.59,0.56
"143","22093040500 ","22","Tract ",0.59,0.55
"144","22071002900 ","22","Tract ",0.53,0.28
"145","22071011900 ","22","Tract ",0.69,0.64
"146","22049970500 ","22","Tract ",0.75,0.62
"147","22017024700 ","22","Tract ",0.84,0.77
"148","22051024700 ","22","Tract ",0.74,0.76
"149","22101041300 ","22","Tract ",999,0.73
"150","22019000300 ","22","Tract ",0.63,0.62
"151","22019000200 ","22","Tract ",0.64,0.66
"152","22071012400 ","22","Tract ",0.69,0.53
"153","22071001739 ","22","Tract ",0.69,0.53
"154","22057020600 ","22","Tract ",0.85,0.78
"155","22099021000 ","22","Tract ",0.36,0.69
"156","22101041500 ","22","Tract ",999,0.73
"157","22071002401 ","22","Tract ",0.65,0.56
"158","22071002000 ","22","Tract ",0.54,0.31
"159","22087030300 ","22","Tract ",0.7,0.43
"160","22073000700 ","22","Tract ",0.65,0.65
"161","22119031100 ","22","Tract ",0.73,0.77
"162","22051021100 ","22","Tract ",0.76,0.74
"163","22071004100 ","22","Tract ",0.62,0.6
"164","22019001500 ","22","Tract ",0.54,0.66
"165","22017023100 ","22","Tract ",0.79,0.84
"166","22071012900 ","22","Tract ",0.62,0.57
"167","22079012900 ","22","Tract ",0.69,0.69
"168","22071002503 ","22","Tract ",0.72,0.56
"169","22075050100 ","22","Tract ",0.59,0.52
"170","22055001408 ","22","Tract ",0.72,0.74
"171","22085980300 ","22","Tract ",0.55,0.51
"172","22071003500 ","22","Tract ",0.58,0.36
"173","22057020900 ","22","Tract ",0.53,0.69
"174","22065960100 ","22","Tract ",0.65,0.51
"175","22071013100 ","22","Tract ",0.5,0.35
"176","22073010604 ","22","Tract ",0.69,0.69
"177","22079010400 ","22","Tract ",0.79,0.8
"178","22103040601 ","22","Tract ",0.85,0.82
"179","22101041600 ","22","Tract ",999,0.58
"180","22089062200 ","22","Tract ",0.63,0.79
"181","22015011300 ","22","Tract ",0.64,0.57
"182","22065960500 ","22","Tract ",0.76,0.59
"183","22071003900 ","22","Tract ",0.43,0.32
"184","22101041200 ","22","Tract ",0.28,0.56
"185","22051026700 ","22","Tract ",0.74,0.69
"186","22071004800 ","22","Tract ",0.39,0.27
